date,open,high,low,close,volume,Name
22-08-2022,6.949999809,10.5,5.210000038,6,122699800,APE
23-08-2022,6.760000229,7.639999866,6.5,7.019999981,104446900,APE
24-08-2022,7.150000095,7.679999828,6.849999905,7.130000114,35891700,APE
25-08-2022,7.010000229,7.070000172,6.329999924,6.829999924,23415600,APE
26-08-2022,6.659999847,6.829999924,6.309999943,6.5,13877700,APE
29-08-2022,6.019999981,6.278999805,5.849999905,6.059999943,17603100,APE
30-08-2022,5.900000095,6.070000172,5.159999847,5.199999809,17076200,APE
31-08-2022,5.119999886,5.260000229,4.721000195,4.900000095,16715700,APE
01-09-2022,5.059999943,5.077000141,4.400000095,4.590000153,12134800,APE
02-09-2022,4.820000172,5.699999809,4.639999866,4.96999979,28085700,APE
06-09-2022,5.25,5.340000153,4.840000153,4.920000076,8341000,APE
07-09-2022,4.829999924,5.090000153,4.679999828,5.079999924,8535700,APE
08-09-2022,5.050000191,5.289999962,5,5.110000134,8771000,APE
09-09-2022,5.150000095,5.550000191,5.119999886,5.53000021,10211700,APE
12-09-2022,5.639999866,6.130000114,5.630000114,5.71999979,12467900,APE
13-09-2022,5.420000076,5.71999979,5.260000229,5.309999943,8893700,APE
14-09-2022,5.28000021,5.429999828,5.110000134,5.360000134,5921800,APE
15-09-2022,5.349999905,5.690000057,5.320000172,5.400000095,8153300,APE
16-09-2022,5.300000191,5.340000153,4.900000095,4.900000095,6697800,APE
19-09-2022,4.869999886,5.090000153,4.579999924,4.670000076,9371800,APE
20-09-2022,4.599999905,4.739999771,4.21999979,4.230000019,8218900,APE
21-09-2022,4.21999979,4.269999981,3.940000057,3.980000019,9047900,APE
22-09-2022,3.920000076,3.950000048,3.410000086,3.579999924,15194200,APE
23-09-2022,3.400000095,3.799999952,3.359999895,3.579999924,10470500,APE
26-09-2022,3.119999886,4.03000021,3.099999905,3.369999886,29813300,APE
27-09-2022,3.599999905,3.769999981,3.349999905,3.380000114,13983500,APE
28-09-2022,3.329999924,3.480000019,3.200000048,3.369999886,13197100,APE
29-09-2022,3.289999962,3.309999943,2.890000105,2.900000095,13885000,APE
30-09-2022,2.900000095,2.960000038,2.700000048,2.710000038,10915000,APE
03-10-2022,2.599999905,2.630000114,2.410000086,2.440000057,12974100,APE
04-10-2022,2.50999999,2.799999952,2.480000019,2.74000001,22114200,APE
05-10-2022,2.640000105,2.670000076,2.450000048,2.450000048,10511300,APE
06-10-2022,2.470000029,2.549999952,2.24000001,2.24000001,14340700,APE
07-10-2022,2.220000029,2.220000029,1.950000048,1.99000001,11684200,APE
10-10-2022,2.019999981,2.089999914,1.830000043,1.860000014,11207300,APE
11-10-2022,1.889999986,1.889999986,1.700000048,1.75999999,11692600,APE
12-10-2022,1.769999981,1.970000029,1.580000043,1.639999986,25515700,APE
13-10-2022,1.570000052,1.850000024,1.480000019,1.820000052,18506600,APE
14-10-2022,1.879999995,1.899999976,1.669999957,1.700000048,12434400,APE
17-10-2022,1.779999971,1.950000048,1.730000019,1.899999976,13182900,APE
18-10-2022,2.029999971,2.220000029,1.940000057,2.099999905,19886200,APE
19-10-2022,2.029999971,2.079999924,1.899999976,2.059999943,11517100,APE
20-10-2022,2.059999943,2.440000057,2.029999971,2.430000067,22344400,APE
21-10-2022,2.630000114,2.765000105,2.420000076,2.670000076,29188700,APE
24-10-2022,2.809999943,2.809999943,2.400000095,2.450000048,16616600,APE
25-10-2022,2.460000038,2.799999952,2.420000076,2.599999905,22165800,APE
26-10-2022,2.549999952,2.589999914,2.109999895,2.160000086,27346600,APE
27-10-2022,2.210000038,2.252000093,1.99000001,2.150000095,15271300,APE
28-10-2022,2.119999886,2.170000076,2.029999971,2.099999905,11881200,APE
31-10-2022,2.180000067,2.349999905,2.039999962,2.049999952,19489600,APE
