date,open,high,low,close,volume,Name
03-01-2017,3.609999895,3.950000048,3.609999895,3.819999933,44500,RIOT
04-01-2017,3.970000029,4.800000191,3.970000029,4.380000114,59700,RIOT
05-01-2017,4.5,4.5,4,4.139999866,16800,RIOT
06-01-2017,4.004000187,4.199999809,4.004000187,4.199999809,1600,RIOT
09-01-2017,4.18599987,4.18599987,3.75,3.75999999,61900,RIOT
10-01-2017,3.829999924,4.090000153,3.630000114,3.630000114,19500,RIOT
11-01-2017,3.630000114,3.789999962,3.630000114,3.690000057,35100,RIOT
12-01-2017,3.329999924,3.746000051,3.329999924,3.650000095,37100,RIOT
13-01-2017,3.819999933,4.334000111,3.400000095,3.660000086,352900,RIOT
17-01-2017,3.809999943,3.809999943,3.492000103,3.529999971,11000,RIOT
18-01-2017,3.49000001,3.589999914,3.359999895,3.480000019,27200,RIOT
19-01-2017,3.400000095,3.450000048,3.400000095,3.420000076,4700,RIOT
20-01-2017,3.410000086,3.529999971,3.299999952,3.430000067,17700,RIOT
23-01-2017,3.440000057,3.443000078,3.349999905,3.367000103,9900,RIOT
24-01-2017,3.349999905,3.369999886,3.069999933,3.099999905,54100,RIOT
25-01-2017,3.079999924,3.220000029,3.079999924,3.220000029,1400,RIOT
26-01-2017,3.109999895,3.125999928,3.019999981,3.099999905,12300,RIOT
27-01-2017,3.109999895,3.140000105,3.049999952,3.109999895,30400,RIOT
30-01-2017,3.089999914,3.130000114,3.079999924,3.118000031,1800,RIOT
31-01-2017,3.099999905,3.150000095,3.069999933,3.150000095,6900,RIOT
01-02-2017,3.079999924,3.25,3.079999924,3.25,4800,RIOT
02-02-2017,3.263999939,3.400000095,3.119999886,3.138000011,4700,RIOT
03-02-2017,3.119999886,3.210000038,3.119999886,3.130000114,5900,RIOT
06-02-2017,3.099999905,3.289999962,3.099999905,3.230000019,5700,RIOT
07-02-2017,3.266000032,3.650000095,3.164999962,3.400000095,58500,RIOT
08-02-2017,3.305000067,3.41899991,3.184999943,3.184999943,18200,RIOT
09-02-2017,3.150000095,3.400000095,3.150000095,3.400000095,26400,RIOT
10-02-2017,3.549999952,3.549999952,3.269999981,3.380000114,13700,RIOT
13-02-2017,3.299999952,3.309999943,3.200000048,3.25,3200,RIOT
14-02-2017,3.079999924,3.24000001,3.079999924,3.210000038,35800,RIOT
15-02-2017,3.200000048,3.325999975,3.144999981,3.319999933,12300,RIOT
16-02-2017,3.25,3.380000114,3.220000029,3.220000029,5300,RIOT
17-02-2017,3.200000048,3.299999952,3.200000048,3.279999971,2400,RIOT
21-02-2017,3.150000095,3.299999952,3.150000095,3.200000048,5700,RIOT
22-02-2017,3.176000118,3.230000019,3.150000095,3.150000095,9700,RIOT
23-02-2017,3.140000105,3.190000057,3.140000105,3.180000067,6200,RIOT
24-02-2017,3.069999933,3.25999999,3.069999933,3.150000095,12600,RIOT
27-02-2017,3.171999931,3.24000001,3.160000086,3.24000001,2400,RIOT
28-02-2017,3.24000001,3.24000001,3.059999943,3.079999924,17400,RIOT
01-03-2017,3.079999924,3.180000067,3.059999943,3.140000105,14900,RIOT
02-03-2017,3.119999886,3.210000038,3.109999895,3.119999886,4200,RIOT
03-03-2017,3.148999929,3.190000057,3.109999895,3.130000114,2000,RIOT
06-03-2017,3.130000114,3.180000067,3.119999886,3.130000114,11400,RIOT
07-03-2017,3.119999886,3.119999886,3.119999886,3.119999886,300,RIOT
08-03-2017,3.119999886,3.141000032,3.119999886,3.119999886,5500,RIOT
09-03-2017,3.119999886,3.279999971,3.119999886,3.25,10600,RIOT
10-03-2017,3.299999952,3.605000019,3.299999952,3.440000057,49600,RIOT
13-03-2017,3.345000029,3.559999943,3.345000029,3.529999971,2700,RIOT
14-03-2017,3.339999914,3.5,3.339999914,3.450000048,7800,RIOT
15-03-2017,3.450000048,3.630000114,3.400000095,3.559999943,15500,RIOT
16-03-2017,3.5,3.638999939,3.5,3.559999943,12300,RIOT
17-03-2017,3.49000001,3.5,3.193000078,3.339999914,80100,RIOT
20-03-2017,3.25,3.309999943,3.24000001,3.309999943,3100,RIOT
21-03-2017,3.309999943,3.309999943,3.200000048,3.200000048,600,RIOT
22-03-2017,3.190000057,3.49000001,3.059999943,3.49000001,7300,RIOT
23-03-2017,3.569999933,3.569999933,3.25999999,3.329999924,8900,RIOT
24-03-2017,3.305000067,3.5,3.305000067,3.369999886,10100,RIOT
27-03-2017,3.410000086,3.549999952,3.369999886,3.480000019,38800,RIOT
28-03-2017,3.480000019,3.569999933,3.480000019,3.50999999,1200,RIOT
29-03-2017,3.494999886,4.099999905,3.494999886,4.013000011,123700,RIOT
30-03-2017,3.849999905,4.40899992,3.849999905,3.950000048,96600,RIOT
31-03-2017,3.920000076,4.190000057,3.920000076,4,19700,RIOT
03-04-2017,4,4,3.819999933,3.869999886,15800,RIOT
04-04-2017,3.950000048,4.065999985,3.710000038,3.910000086,18000,RIOT
05-04-2017,3.819999933,4.199999809,3.809999943,3.809999943,17700,RIOT
06-04-2017,4.010000229,4.150000095,3.849999905,4.139999866,18500,RIOT
07-04-2017,4.139999866,4.190000057,4,4.019999981,15200,RIOT
10-04-2017,4.019999981,4.195000172,3.640000105,4.179999828,12300,RIOT
11-04-2017,3.900000095,4.198999882,3.900000095,4.130000114,9300,RIOT
12-04-2017,4.130000114,4.239999771,4.070000172,4.130000114,15400,RIOT
13-04-2017,4.059999943,4.150000095,3.849999905,4.019999981,16100,RIOT
17-04-2017,4.159999847,4.230000019,4.079999924,4.150000095,19700,RIOT
18-04-2017,4.170000076,4.28000021,3.930000067,3.930000067,23100,RIOT
19-04-2017,3.970000029,4.039999962,3.869999886,3.99000001,16600,RIOT
20-04-2017,4.03000021,4.03000021,3.779999971,3.859999895,9800,RIOT
