date,open,high,low,close,volume,Name
04-01-2021,12.59000015,12.59000015,11.80000019,12.19999981,1371400,SOFI
05-01-2021,12.14999962,12.27999973,12.09000015,12.14999962,1304000,SOFI
06-01-2021,12.14999962,12.19999981,11.89000034,12.11999989,1105700,SOFI
07-01-2021,12.19999981,22,12.05000019,19.13999939,64877000,SOFI
08-01-2021,21.45999908,22,17.88999939,18.73999977,35657000,SOFI
11-01-2021,19.37000084,19.75,18.64999962,18.98999977,11702200,SOFI
12-01-2021,18.97999954,19.19000053,18.25,18.45000076,7138600,SOFI
13-01-2021,18.89999962,19.59000015,18.53000069,19.11000061,8226400,SOFI
14-01-2021,19.39999962,19.45000076,18.92000008,19.15999985,7705100,SOFI
15-01-2021,19.31999969,21.04999924,19.11000061,20.15999985,13024900,SOFI
19-01-2021,21.89999962,24.21999931,21.05999947,22.59000015,22266200,SOFI
20-01-2021,23.86000061,24.62000084,22.11000061,22.37000084,10236100,SOFI
21-01-2021,23,23.04999924,21.5,22.38999939,6971500,SOFI
22-01-2021,22.09000015,22.98999977,21.19000053,21.64999962,6727300,SOFI
25-01-2021,22.15999985,22.85000038,20,20.47999954,9701800,SOFI
26-01-2021,20.39999962,21.31999969,19.5,19.56999969,9172400,SOFI
27-01-2021,19,19.25,17.89999962,18.18000031,16297600,SOFI
28-01-2021,20.42000008,20.92000008,19.10000038,20.28000069,12032100,SOFI
29-01-2021,23.19000053,26.96999931,21.79999924,25.13999939,36434600,SOFI
01-02-2021,25.85000038,28.26000023,25.13999939,25.78000069,18319100,SOFI
02-02-2021,26.01000023,26.18000031,23.85000038,24.32999992,8973900,SOFI
03-02-2021,24.79999924,25.75,24.51000023,24.95000076,4251500,SOFI
04-02-2021,24.06999969,25.12000084,23.42000008,25.05999947,8449800,SOFI
05-02-2021,24.29000092,24.52000046,22.89999962,23.10000038,12226800,SOFI
08-02-2021,23.39999962,24.38999939,22.79999924,23,7344500,SOFI
09-02-2021,22.93000031,24,22.75,23.12000084,6375300,SOFI
10-02-2021,23.70000076,23.79000092,22.25,22.98999977,6308100,SOFI
11-02-2021,23,23.95000076,22.31999969,23.06999969,8551100,SOFI
12-02-2021,22.84000015,24.47999954,22.80999947,23.89999962,5847400,SOFI
16-02-2021,24.45000076,24.70000076,23.55999947,24.29999924,6134900,SOFI
17-02-2021,24.27000046,24.29999924,23,23.87999916,4731300,SOFI
18-02-2021,22.60000038,23.31999969,22.26000023,23.22999954,5747000,SOFI
19-02-2021,23.5,23.60000038,22.60000038,22.69000053,5138800,SOFI
22-02-2021,22.5,22.83699989,21.02000046,21.29000092,6530300,SOFI
23-02-2021,19.98999977,20.60000038,16.84000015,20.12000084,12561900,SOFI
24-02-2021,20,20.29999924,19,19.40999985,7947300,SOFI
25-02-2021,20.43000031,21,18.52499962,18.71999931,7962300,SOFI
26-02-2021,18.85000038,19.21999931,17.7670002,18.43000031,9106700,SOFI
